category ,sub cat ,prod code,name ,desc ,key features ,package content,size ,area ,height ,material ,weight ,color ,vase included ,customer price ,discount price ,wholeseller price ,wholeseller discount price ,availability ,featured ,promotional page ,promotional date ,productId ,offer valid
Artificial Potted Plants,,ABT R222-1250-ORANGE,"Miniature Artificial Drooping Tree in a Melamine Vase (Green/Orange, 25 cm tall, 17 cm wide)",Elegant and affordable product for your reception or office desk. Made using the finest materials and the most advanced manufacturing techniques to ensure botanical accuracy,Material: Vase- Melamine ; Flowers-Synthetic,1-Piece Artificial plant with pot,0,0,25,Material: Vase- Melamine ; Flowers-Synthetic,0,Orange,Yes,1250,499,250,0,5,No,No,01-01-1970,805,LAUNCH15
Artificial Potted Plants,,ABT R222-1250-WHITE,"Miniature Artificial Drooping Tree in a Melamine Vase (Green/White, 25 cm tall, 17 cm wide)",Elegant and affordable product for your reception or office desk. Made using the finest materials and the most advanced manufacturing techniques to ensure botanical accuracy,Material: Vase- Melamine ; Flowers-Synthetic,1-Piece Artificial plant with pot,0,0,25,Material: Vase- Melamine ; Flowers-Synthetic,0,White,Yes,1250,499,250,0,5,No,No,01-01-1970,804,LAUNCH15
Artificial Potted Plants,,ABT R222-1250-ORANGE,"Miniature Artificial Drooping Tree in a Melamine Vase (Green/Orange, 25 cm tall, 17 cm wide)",Elegant and affordable product for your reception or office desk. Made using the finest materials and the most advanced manufacturing techniques to ensure botanical accuracy,Material: Vase- Melamine ; Flowers-Synthetic,1-Piece Artificial plant with pot,0,0,25,Material: Vase- Melamine ; Flowers-Synthetic,0,Orange,Yes,1250,499,250,0,5,No,No,01-01-1970,803,LAUNCH15
Artificial Potted Plants,,ABT R222-1250-WHITE,"Miniature Artificial Drooping Tree in a Melamine Vase (Green/White, 25 cm tall, 17 cm wide)",Elegant and affordable product for your reception or office desk. Made using the finest materials and the most advanced manufacturing techniques to ensure botanical accuracy,Material: Vase- Melamine ; Flowers-Synthetic,1-Piece Artificial plant with pot,0,0,25,Material: Vase- Melamine ; Flowers-Synthetic,0,White,Yes,1250,499,250,0,5,No,No,01-01-1970,802,LAUNCH15
Artificial Potted Plants,,ABT R222-1250-ORANGE,"Miniature Artificial Drooping Tree in a Melamine Vase (Green/Orange, 25 cm tall, 17 cm wide)",Elegant and affordable product for your reception or office desk. Made using the finest materials and the most advanced manufacturing techniques to ensure botanical accuracy,Material: Vase- Melamine ; Flowers-Synthetic,1-Piece Artificial plant with pot,0,0,25,Material: Vase- Melamine ; Flowers-Synthetic,0,Orange,Yes,1250,499,250,0,5,No,No,01-01-1970,801,LAUNCH15
Artificial Potted Plants,,ABT R222-1250-WHITE,"Miniature Artificial Drooping Tree in a Melamine Vase (Green/White, 25 cm tall, 17 cm wide)",Elegant and affordable product for your reception or office desk. Made using the finest materials and the most advanced manufacturing techniques to ensure botanical accuracy,Material: Vase- Melamine ; Flowers-Synthetic,1-Piece Artificial plant with pot,0,0,25,Material: Vase- Melamine ; Flowers-Synthetic,0,White,Yes,1250,499,250,0,5,No,No,01-01-1970,800,LAUNCH15
Artificial Potted Plants,,ABT R222-1250-ORANGE,"Miniature Artificial Drooping Tree in a Melamine Vase (Green/Orange, 25 cm tall, 17 cm wide)",Elegant and affordable product for your reception or office desk. Made using the finest materials and the most advanced manufacturing techniques to ensure botanical accuracy,Material: Vase- Melamine ; Flowers-Synthetic,1-Piece Artificial plant with pot,0,0,25,Material: Vase- Melamine ; Flowers-Synthetic,0,Orange,Yes,1250,499,250,0,5,No,No,01-01-1970,799,
Artificial Potted Plants,,ABT R222-1250-WHITE,"Miniature Artificial Drooping Tree in a Melamine Vase (Green/White, 25 cm tall, 17 cm wide)",Elegant and affordable product for your reception or office desk. Made using the finest materials and the most advanced manufacturing techniques to ensure botanical accuracy,Material: Vase- Melamine ; Flowers-Synthetic,1-Piece Artificial plant with pot,0,0,25,Material: Vase- Melamine ; Flowers-Synthetic,0,White,Yes,1250,499,250,0,5,No,No,01-01-1970,798,
Artificial Plants and Trees,,AP 215 CM FICUS 2434 LVS/17500,215 cm tall decorative artificial Ficus plant without pot,Made using the finest materials and the most advanced manufacturing techniques to ensure botanical accuracy,Material- Plant: Polyester; Trunk: Polyurethane; non- variegated leaves,Package contents: 1 artificial plant without the pot,0,0,215,Plant: Polyester; Trunk: Polyurethane; non- variegated leaves,0,Green,Yes,25000,14999,7500,0,5,No,No,01-01-1970,797,LAUNCH15
Artificial Plants and Trees,,AP 180 CM BOUGAINVILLEA 1204 LVS/14550,180 cm tall decorative artificialBougainvillea plant without pot,Made using the finest materials and the most advanced manufacturing techniques to ensure botanical accuracy,Material- Plant: Polyester; Trunk: Polyurethane; non- variegated leaves,Package contents: 1 artificial plant without the pot,0,0,180,Plant: Polyester; Trunk: Polyurethane; non- variegated leaves,0,Other,Yes,15000,8999,4550,0,5,No,No,01-01-1970,796,LAUNCH15
Artificial Plants and Trees,,AP 176 CM CORDYLINEX3/GREEN/13650,176 cm tall decorative artificialCordyline plant without pot,Made using the finest materials and the most advanced manufacturing techniques to ensure botanical accuracy,Material- Plant: Polyester; Trunk: Polyurethane; variegated leaves,Package contents: 1 artificial plant without the pot,0,0,176,Plant: Polyester; Trunk: Polyurethane; variegated leaves,0,Multicolor,Yes,14000,6999,3650,0,5,No,No,01-01-1970,795,LAUNCH15
